Id_sentence_all,Id_sentence_candidate,text_new,Select,Who,Democrat,When,Where,VG,Comment_V
2785,725," Many of them make a lot of money from Chinese slave labor, but they don't want voter ID in the United States",1,DeSantis,0,2/24/22,"Orlando, FL",1,Us vs them; Manichean (good/evil); Corruption
2789,731,You look at the corrupt and dishonest legacy media in this country and what they're doing to divide us and what they're doing to prop up the regime,1,DeSantis,0,2/24/22,"Orlando, FL",1,Anti-elitism; Us vs them; Corruption
2793,735," They're defending the regime and power and if you speak up, they come after you",1,DeSantis,0,2/24/22,"Orlando, FL",1,Anti-elitism
2796,738," They're going to try to do anything they can to relieve the blame off Biden, and to try to fool the American people into keeping Democrats in office",1,DeSantis,0,2/24/22,"Orlando, FL",1,Us vs them; Manichean (good/evil); grand struggle
2800,743," They are working with the legacy media, they're working with the Biden regime to try to marginalize conservative voices",1,DeSantis,0,2/24/22,"Orlando, FL",1,Us vs them; Anti-elitism
2807,751," And so in times like these, there is no substitute for courage, having the courage to stand up against things like cancel culture, having the courage to reject corporate media narratives, having the courage to take on institutions like big tech, having the courage to stand in the way of the Brandon administration",1,DeSantis,0,2/24/22,"Orlando, FL",1,Anti-elitism; Will of the people; Manichean (good/evil); grand struggle
2829,782," We reject the biomedical security state that curtails liberty, ruins livelihoods and divides society",1,DeSantis,0,1/22/22,Florida,1,Us vs them; Anti-elitism
2830,783, And we will protect the rights of individuals to live their lives free from the yolk of restrictions and mandates,1,DeSantis,0,1/22/22,Florida,1,Will of the people
2862,828," We faced opposition ” from hysterical media, from unions and the politicians they control",1,DeSantis,0,1/22/22,Florida,1,Us vs them; Manichean (good/evil)
2915,904,"As a state, we cannot be a party to what is effectively a massive human smuggling operation run by the federal government",1,DeSantis,0,1/22/22,Florida,1,Anti-elitism; Manichean (good/evil)
2916,905," Companies who are facilitating the movement of illegal aliens from the southern border to Florida should be held accountable, including by paying restitution to the state for all the costs they are imposing on our communities",1,DeSantis,0,1/22/22,Florida,1,Us vs them; Anti-elitism; Manichean (good/evil)
2926,921,Our constitutional rights have been under assault on a number of fronts and Florida has stood tall in defending the rights of its people,1,DeSantis,0,1/22/22,Florida,1,Will of the people; Manichean (good/evil)
3639,218,Don't let Democrats do to America what they have done to New York!,1,Giuliani,0,8/27/20,Republican National Convention,1,Us vs them; Manichean (good/evil); law and order
3643,225,"He's a Trojan Horse with Bernie, AOC, Pelosi, Black Lives Matter and his party's entire Left Wing hidden inside his body just waiting to execute their pro-criminal, anti-police policies",1,Giuliani,0,8/27/20,Republican National Convention,1,Manichean (good/evil); grand struggle; law and order
3676,285,"Vote for President Trump and he will fight to preserve your safety, and to protect the American way of life",1,Giuliani,0,8/27/20,Republican National Convention,1,Will of the people; Manichean (good/evil); law and order; traditionalism; Patriotism and Nationalism
3682,297,His re-election in large part will be a mandate to end the out of control violent crime and rioting in Democrat cities,1,Giuliani,0,8/27/20,Republican National Convention,1,Us vs them; law and order
3691,313," President, Make our nation safe again",1,Giuliani,0,8/27/20,Republican National Convention,1,Manichean (good/evil); law and order; Patriotism and Nationalism
3712,21," The fact that our borders are open and some of my friends have had their children murdered by illegal aliens, or perhaps that maybe we can stop sending our sons and daughters to fight in foreign Wars and be used as the world's police basically",1,Greene,0,2/4/21,,1,Us vs them; Manichean (good/evil)
3784,104,"But it's much worse than that for decades now, this government has sold out our American worker, sent our jobs overseas to foreign countries",1,Greene,0,2/5/21,,1,Us vs them; Will of the people
3817,143," They want to leave our children defenseless, but they will surround this place with a big, beautiful border wall and a whole bunch of good guys with guns",1,Greene,0,2/5/21,,1,Us vs them; Manichean (good/evil)
3822,150,Our tax dollars should stay here in America,1,Greene,0,2/5/21,,1,Us vs them; Will of the people; patriotism
3823,151," Our tax dollars should fund our border wall, our bridges, our schools, our roads",1,Greene,0,2/5/21,,1,Us vs them; Will of the people; patriotism
3835,164, They cling to power as long as they can because apparently it's addictive and they can't give it up,1,Greene,0,2/5/21,,1,Anti-elitism; Us vs them
3889,226, They only care about pushing their socialist agenda through,1,Greene,0,2/5/21,,1,Us vs them; Manichean (good/evil)
3989,344," They write lies about me and team up with Democrats to have me sidelined and censored because they know I am the voice of the people, and that scares them the most",1,Greene,0,5/25/22,,1,Us vs them; Will of the people
4032,402,"But our enemies in Washington aren't as smart as they think they are, and they're not unbeatable",1,Greene,0,5/25/22,,1,Anti-elitism
4035,406, They do these things because they simply don't care about you,1,Greene,0,5/25/22,,1,Us vs them
4036,407," In fact, they look down on us and they hate us",1,Greene,0,5/25/22,,1,Us vs them; Grand struggle
4040,412," Sending me back to Washington will send a message to the blood sucking establishment, it is we who will set the political agenda for the next decade and not them",1,Greene,0,5/25/22,,1,Us vs them
4044,417," So we're going to start speaking the truth more loudly and fearlessly than ever before; we're going to work together, and we are going to take our country back",1,Greene,0,5/25/22,,1,Us vs them; Will of the people; Grand struggle
4065,449,"The era of mandates, and lockdowns, and jabs, and censorship, and lies is ending because the American people will no longer tolerate their government declaring war on its own citizens and our own values",1,Greene,0,5/25/22,,1,Will of the people; Us vs them; traditionalism
4068,453," Hail and thunder are coming for the elites who despise us and who want us to eat the bugs, drink the poop water, and live in the pods, and own nothing, yet somehow be happy",1,Greene,0,5/25/22,,1,Grand struggle; Anti-elitism
4085,474," I will continue to speak the truth and fight back against the uni-party in Washington, DC",1,Greene,0,5/25/22,,1,Anti-elitism
4089,480,And we will reign in big tech companies and stop those woke corporations from shutting down and silencing conservatives and destroying our freedom of speech,1,Greene,0,5/25/22,,1,Anti-elitism; authoritarianism
4098,495, I'm going to work with him to deliver the America First policies that America needs and America desperately wants,1,Greene,0,5/25/22,,1,Will of the people; Grand struggle
4180,82," No matter the amount of negative or false media headlines or attacks from the other side, Donald Trump has not and will not lose focus on you",1,Melania Trump,0,8/25/20,,1,Will of the people; Anti-elitism
4407,205, you won't be safe in Joe Biden's America,1,Pence,0,8/26/20,,1,Us vs them; law and order
4417,218, Their agenda is based on government control; our agenda is based on freedom,1,Pence,0,8/26/20,,1,Us vs them
4422,227,Joe Biden has been a cheerleader for communist China “ wants to repeal all the tariffs that are leveling the playing field for American workers and actually criticized President Trump for suspending all travel from China at the outset of this pandemic,1,Pence,0,8/26/20,,1,Us vs them
6456,2359,"Well, under our administration, we will get our act together, we're going to tell the fossil fuel industry that their short-term profits are not more important than the future of this planet",1,Sanders,1,2/28/20,,1,anti-elitism
6499,2407, Trump wants to divide us up,1,Sanders,1,2/28/20,,1,Us vs them; manichean (good/evil)
6501,2409, We are sick and tired of an economy and government that works for wealthy campaign contributors,1,Sanders,1,2/28/20,,1,Us vs them; anti-elitism
6502,2410, We're tired of three people owning more wealth than the bottom half of America,1,Sanders,1,2/28/20,,1,Us vs them; anti-elitism
6504,2412, We're tired of half a million Americans sleeping out on the street,1,Sanders,1,2/28/20,,1,Us vs them; will of the people
6508,2417, And you got to tell the billionaires of this country they're no longer going to be running our economy and our government,1,Sanders,1,2/28/20,,1,Us vs them; anti-elitism
6512,2421," They own the media, they have huge power over our economy and they have huge power over the political process",1,Sanders,1,2/28/20,,1,anti-elitism
6518,2428," And if we stand together, and don't allow Trump and his friends to divide us up",1,Sanders,1,2/28/20,,1,anti-elitism; us vs them
6553,2467, We will not have a corrupted administration for four more years,1,Sanders,1,3/2/20,,1,grand struggle; corruption
6694,2627,Joe is running a campaign which is obviously heavily supported by the corporate establishment,1,Sanders,1,3/4/20,,1,anti-elitism
6695,2628," At last count has received funding from at least 60 billionaires, 60 billionaires",1,Sanders,1,3/4/20,,1,anti-elitism
6703,2637," Joe is going to have to explain to the American people why he voted for a Wall Street bailout, something that I vigorously opposed",1,Sanders,1,3/4/20,,1,Will of the people; anti-elitism; us vs them
6743,2682," We are talking about bringing millions and millions of people today who have no voice, who have given up on the political process, who in many cases are working longer hours for lower wages, people who don't want to have any healthcare, people who have not traditionally been involved in the political process",1,Sanders,1,3/4/20,,1,will of the people
6857,2819," In America, the richest country in the history of the world, you have three people owning more wealth than the bottom half of America",1,Sanders,1,3/9/20,,1,anti-elitism
6890,2856," It's to say that within a corrupt political system, where billionaires buy elections, our job is to reinvigorate democracy so we have one person, one vote, not billionaires buying elections",1,Sanders,1,3/9/20,,1,anti-elitism; corruption
6895,2862," What our job is is to bring people into the political process so that we can create a government that works for working families, not just the 1%",1,Sanders,1,3/9/20,,1,anti-elitism
6938,2912, Stop ripping off the American people,1,Sanders,1,3/9/20,,1,us vs them; anti-elitism; grand struggle; will of the people
6939,2914,"We finally need a government that represents working people in the middle class, not just large multinational corporations",1,Sanders,1,3/9/20,,1,us vs them; anti-elitism
6958,2941," We're going to bring people together around an agenda that works for all of us, not just wealthy campaign contributors",1,Sanders,1,3/9/20,,1,will of the people; anti-elitism
6973,2959," That is why we believe that instead of giving tax breaks to the billionaires and spending more than the next 11 countries on the military, we will pay our teachers at least $60, 000 a year",1,Sanders,1,3/9/20,,1,us vs them; anti-elitism
6996,2985,"Not only are they not radical and extreme, they are exactly what the American people want",1,Sanders,1,3/9/20,,1,will of the people; us vs them
7133,3173,"The American people are deeply concerned about the grotesque level of income and wealth inequality in this country, and the American people want the wealthy and large profitable corporations to start paying their fair share of taxes",1,Sanders,1,8/17/20,Democratic Convention,1,will of the people; anti-elitisim
7207,3344," I'll tell you what Trump and his friends want, they want more tax breaks for billionaires and they want to cut social security, Medicare and Medicaid",1,Sanders,1,8/17/20,Democratic Convention,1,anti-elitism; us vs them
7460,3532, We're not going to leave tens and tens of millions of people behind,1,Sanders,1,3/11/20,,1,us vs them; will of the people
7502,42, The forgotten men and women of our country will be forgotten no longer,1,Trump,0,11/9/16,New York City,1,will of the people; us vs them
7642,240,"I am going to fight so hard for all of you, and I am going to bring back the jobs that have been stripped away from you and your country",1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,will of the people; us vs them
7644,244,"It is going to be a victory for YOU, the American people",1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,will of the people; us vs them
7645,246,"We are going to take on the special interests, the lobbyists, and the powerful politicians that have stolen your jobs, your wealth, and your middle class",1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism; us vs them; will of the people; grand struggle
7651,255,Hillary Clinton has made a living raking in donations from special interests that have ripped the jobs right out of Michigan,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism; us vs them
7653,257, That's how she gets rich “ by taking your jobs and your money away from you,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,us vs them; manichean (good/evil)
7667,276,Hillary Clinton only believes in protecting one thing: her donors,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism; us vs them
7674,289,Hillary Clinton is an insider fighting only for herself and for her donors,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism
7675,291,I am an outsider fighting for you,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,grand struggle; will of the people
7677,295,We are the ones who are going to change the system so it's fair and just for every American,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,us vs them; will of the people
7679,298, The corrupt establishment is panicking because they know how hard it is to stop us,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism; corruption; us vs them
7681,301,The arrogant political class doesn't believe in protecting jobs and wages for Americans,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism; us vs them; will of the people; manichean (good/evil)
7682,303,They don't believe in secure borders and strong walls,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism; us vs them; will of the people
7694,322,The large corporations who support terrible trade deals that ship your jobs overseas “ they are donating to Hillary Clinton,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism
7700,334,The special interests who want open borders are donating to Hillary Clinton,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism; corruption
7744,402,Michigan has lost more than 1 in 3 of its manufacturing jobs since the twin disasters of NAFTA and China's entrance into the WTO “ both deals pushed by Bill Clinton and supported by Hillary Clinton,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,us vs them; will of te people; grand struggle
7770,440,Hillary Clinton is a globalist who will never protect the freedom and jobs of the American people,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,us vs them; will of the people
7780,455,"Hillary Clinton is there for only one reason, to protect her donors and collect their money",1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism
7781,457,"Our campaign is taking on big business, big media and big donors “ we're taking them on for YOU",1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism; us vs them
7783,460,"Our campaign is about breaking-up the special interest monopoly in Washington, DC",1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism
7785,462," We're trying to disrupt the collusion between the wealthy donors, the large corporations, and the media executives",1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,anti-elitism
7788,467,I call you hardworking American Patriots and together we are going to save this country,1,Trump,0,9/30/16,"Suburban Collection Showplace in Novi, Michigan",1,us vs them; will of the people
7822,524,"We are going to take on the special interests, the lobbyists, and the corrupt corporate media that have rigged the system against everyday Americans",1,Trump,0,9/29/16,"New Hampshire Sportsplex in Bedford, New Hampshire",1,grand struggle; us vs them; anti-elitism
7938,719,We Will Make America Wealthy Again,1,Trump,0,9/29/16,"New Hampshire Sportsplex in Bedford, New Hampshire",1,will of the people; nostalgia
7939,721,We Will Make America Strong Again,1,Trump,0,9/29/16,"New Hampshire Sportsplex in Bedford, New Hampshire",1,will of the people; nostalgia
7940,723,We Will Make America Safe Again,1,Trump,0,9/29/16,"New Hampshire Sportsplex in Bedford, New Hampshire",1,will of the people; nostalgia
7947,735,"It's going to be a victory for YOU, the American people",1,Trump,0,9/28/16,"Waukesha County Expo Center in Waukesha, Wisconsin",1,will of the people
7948,737,We are going to end the Clinton Corruption and restore dignity and honesty to government service,1,Trump,0,9/28/16,"Waukesha County Expo Center in Waukesha, Wisconsin",1,anti-elitism; us vs them; corruption
8124,1023,The Wall Street investors who have rigged the regulations against the middle class “ they are donating to Hillary Clinton,1,Trump,0,9/28/16,"Mid-America Center in Council Bluffs, Iowa",1,anti-elitism; will of the people; us vs them
8242,1207,"We are going to replace our failed and corrupt establishment with a new government that serves you, your family, and your country",1,Trump,0,9/24/16,"Berglund Center in Roanoke, Virginia",1,anti-elitism; will of the people; us vs them; corruption
8260,1237,I am running to be the voice of the forgotten men and women,1,Trump,0,9/24/16,"Berglund Center in Roanoke, Virginia",1,anti-elitism; will of the people; us vs them
8315,1317, I will fight harder for you than anyone has before,1,Trump,0,9/24/16,"Berglund Center in Roanoke, Virginia",1,will of the people; us vs them
8329,1339," They all support the same ideology of globalism that makes them rich while shipping your jobs, your factories, and your wealth to other countries",1,Trump,0,9/24/16,"Berglund Center in Roanoke, Virginia",1,anti-elitism; us vs them
8377,1415,"To all of our people, in all of our cities and towns, I say these words to you tonight: I'm with you, I will fight for you, and I will win for you",1,Trump,0,9/24/16,"Berglund Center in Roanoke, Virginia",1,us vs them; will of the people
8378,1417,"Once more, we will have a government of, by and for the people",1,Trump,0,9/24/16,"Berglund Center in Roanoke, Virginia",1,us vs them; will of the people
8432,1490, Our heritage is being obliterated and our country is being humiliated by a president who has no idea what the hell is going on,1,Trump,0,4/9/22,,1,us vs them; will of the people
8434,1493," The simple fact is the presidential election was rigged and stolen, and because of that, because of that our country is being systematically destroyed",1,Trump,0,4/9/22,,1,us vs them; will of the people;  corruption
8436,1496,"With your vote this November, we can stop up our nation's decline",1,Trump,0,4/9/22,,1,grand struggle
8437,1497, We can make America great again,1,Trump,0,4/9/22,,1,grand struggle
8457,1521,"Just like an army would invade another country, our nations are emptying out their prisons and sending drug dealers, murderers, rapists, and savage MS13 gang members to victimize American citizens",1,Trump,0,4/9/22,,1,grand struggle; immigration; will of the people; law and order
8465,1531,We had the safest border and now we have the worst border we've ever had,1,Trump,0,4/9/22,,1,us vs them; immigration
8472,1539," I believe Americans deserve a president who will secure the borders of our nation, who will protect our citizens, who will defend our sovereignty, and who will stop the invasion of our country right now",1,Trump,0,4/9/22,,1,will of the people; us vs them; grand  struggle; immigration
8495,1568," They put America last, and all you have to do is look at what they're doing and that's where they want to keep us",1,Trump,0,4/9/22,,1,us vs them; manichean (good/evil)
8648,1757, This election will decide whether we save the American dream or whether we allow a socialist agenda to demolish our cherished destiny,1,Trump,0,8/27/20,,1,grand struggle
8651,1763,And this election will decide whether we will defend the American way of life or whether we will allow a radical movement to completely dismantle and destroy it,1,Trump,0,8/27/20,,1,grand struggle
8654,1767, So tonight I ask you a simple question: How can the Democrat Party ask to lead our country when it spends so much time tearing down our country? ,1,Trump,0,8/27/20,,1,us vs them; manichean (good/evil)
8661,1776,"Joe Biden is not a savior of America's soul; he is the destroyer of America's jobs, and if given the chance he will be the destroyer of American greatness",1,Trump,0,8/27/20,,1,us vs them; manichean (good/evil); will of the people
8665,1784, And then he flew back to Washington and voted to ship our jobs to China and many other distant lands,1,Trump,0,8/27/20,,1,anti-elitism; will of the people
8666,1786,"Joe Biden spent his entire career outsourcing their dreams and the dreams of American workers, offshoring their jobs, opening their borders and sending their sons and daughters to fight in endless foreign wars, wars that never ended",1,Trump,0,8/27/20,,1,anti-elitism; will of the people; manichean (good/evil)
8677,1801,"Together we have ended the rule of the failed political class, and they are desperate to get their power back by any means necessary",1,Trump,0,8/27/20,,1,anti-elitism; us vs them; will of the people
8908,2117," The Biden-Bernie manifesto calls for abolishing cash bail, immediately releasing 400,000 criminals onto the streets and into your neighborhoods",1,Trump,0,8/27/20,,1,us vs them
8915,2126," They will make every city look like Democrat-run Portland, Oregon",1,Trump,0,8/27/20,,1,us vs them
9135,2411," Under Biden, Pelosi, Schumer, and the radical Democrat Congress, your commonwealth is being totally destroyed, our country is being destroyed",1,Trump,0,11/5/22,Pennsylvania,1,us vs them; grand struggle
9136,2412," Biden and the far left lunatics are waging war on Pennsylvania energy, crushing Pennsylvania jobs, gutting Pennsylvania communities, and strangling Pennsylvania families with soaring prices like you've never seen before",1,Trump,0,11/5/22,Pennsylvania,1,us vs them; will of the people; grand struggle
9197,2473, Yet Biden and the radical Democrats do nothing to stop the lethal poisons pouring across our border,1,Trump,0,11/5/22,Pennsylvania,1,us vs them; manichean (good/evil); grand struggle; immigration
9208,2484," Democrats will defund the police, Republicans will defund the cartels, and we will do that",1,Trump,0,11/5/22,Pennsylvania,1,us vs them; law and order
9214,2490," We took alien gang members, all illegally in our country by the thousands and thousands, MS 13, everyone, we got them the hell out of our country",1,Trump,0,11/5/22,Pennsylvania,1,us vs them; immigration
9348,2624," But they wanted open borders to ravage our country, and every day the Democrat open border policies are getting innocent American killed",1,Trump,0,11/5/22,Pennsylvania,1,us vs them; grand struggle; will of the people; immigration
9411,2687," Under the radical F crazy Democrats, the streets of our cities are ruled by blood-thirsty gangs and violent criminals",1,Trump,0,11/5/22,Pennsylvania,1,us vs them; law and order
9537,2813,They are truly the enemy of the people,1,Trump,0,11/5/22,Pennsylvania,1,anti-elitism; us vs them
9602,2878, Every freedom-loving American needs to understand the time to stand up to this growing left wing tyranny is right now,1,Trump,0,11/5/22,Pennsylvania,1,grand struggle
9900,3176, You can reject left wing tyranny and proudly declare that America will always remain a free country,1,Trump,0,11/5/22,Pennsylvania,1,will of the people; us vs them
10058,3334,"During the 2020 riots, Shapiro left your homes and businesses at the mercy of rioters and anarchists and arsonist",1,Trump,0,11/5/22,Pennsylvania,1,us vs them; manichean (good/evil); law and order
10166,3442,Fetterman will mean death and despair for every community in your commonwealth,1,Trump,0,11/5/22,Pennsylvania,1,us vs them; manichean (good/evil); law and order
10167,3443," Fetterman proudly supports deadly sanctuary cities, and he signed a pledge to ban fracking, for you energy people, and I'm a big energy person",1,Trump,0,11/5/22,Pennsylvania,1,us vs them; manichean (good/evil); law and order
10280,51," Business owners got richer, politicians got more powerful and working people paid the price",1,Warren,1,9/19/19,New York City,1,anti-elitism
10289,60, Why? Because huge fossil fuel corporations have bought off our government,1,Warren,1,9/19/19,New York City,1,anti-elitism
10297,70, Why? Because health insurance companies and drug companies have bought off our government,1,Warren,1,9/19/19,New York City,1,anti-elitism
10304,78," Now when you see a government that works great for those with money and connections and doesn't work for much of anyone else, that's corruption plain and simple and we need to call it out for what it is! Corruption has put our planet at risk",1,Warren,1,9/19/19,New York City,1,anti-elitism; corruption
10313,88," He's sworn to serve the people of the United States, but he only serves himself and his partners in corruption",1,Warren,1,9/19/19,New York City,1,anti-elitism; corruption
10322,100, The American people get it and they are sick of it,1,Warren,1,9/19/19,New York City,1,will of the people; grand struggle
10356,136, We're going to take down the for sale signs hanging outside of every federal building in Washington,1,Warren,1,9/19/19,New York City,1,anti-elitism
10431,225, Working families all across this country have been denied the opportunities they deserve,1,Warren,1,9/19/19,New York City,1,us vs them
10601,426,"We have a government that works great for giant drug companies, just not for people trying to get a prescription filled",1,Warren,1,2/10/20,New Hampshire,1,us vs them; anti-elitism
10602,427," We have a government that works great for people who want to make some money by investing in private detention centers down at our border and private prisons, just not for the people whose lives are destroyed by those places",1,Warren,1,2/10/20,New Hampshire,1,us vs them; anti-elitism
10603,428," We have a government that works great for giant oil companies that want to drill everywhere, just not for the rest of us who see climate change bearing down upon us",1,Warren,1,2/10/20,New Hampshire,1,us vs them; anti-elitism
10710,548, I want a government that works for us,1,Warren,1,2/17/20,Nevada ,1,us vs them; anti-elitism
10925,782,People feel like the system is rigged against them,1,Warren,1,9/5/12,Democratic Convention,1,us vs them; will of the people
10954,817," But for middle-class families who are hanging on by their fingernails? His plans will hammer them with a new tax hike of up to 2,000 dollars",1,Warren,1,9/5/12,Democratic Convention,1,us vs them; will of the people
11539,90,"we are America, corporations are not America.",1,Ryan,1,22-Apr-15,Stop Fast Track Rally!,1,anti-elitism; will of the people
11563,114, the senate needs somebody that comes from a place like toledo ohio or youngstown ohio so we can start taking care of workers again,1,Ryan,1,25-Aug-22,"Ohio, Toledo Union Labor",1,anti-elitism; will of the people
11603,154, and we're saying that we are not happy with this future being in the control of the hands of the wealthiest people in the country while everyone else gets the crumbs this is about us coming together.,1,Ryan,1, 23 Jul 2022,"Ohio, Dayton",1,anti-elitism; us vs them; will of the people
11725,47,"For every small town or person that ever felt left behind, for every job that has ever been lost, for every factory that was ever closed, for every person that works hard, but never got ahead, I’m proud of what we ran on",1,Fetterman,1,9-Nov-22,victory speech midterms,1,will of the people
11729,51,"Standing up to corporate greed, making more things right here in America and right here in Pennsylvania, and standing up for our democracy",1,Fetterman,1,9-Nov-22,victory speech midterms,1,anti-elitism; grand struggle
11731,53," And I’ve spent these last two decades fighting for the forgotten communities, because no community deserves to be left behind",1,Fetterman,1,9-Nov-22,victory speech midterms,1,will of the people
